      Date ;Completion OO-10 Oil Rate (Cal. Day) bbl/d ;Completion OO-16 Oil Rate (Cal. Day) bbl/d ;Completion OO-9 Oil Rate (Cal. Day) bbl/d ;Completion PN2-10 Oil Rate (Cal. Day) bbl/d ;Completion PN3-1 Oil Rate (Cal. Day) bbl/d ;Completion PN3-10 Oil Rate (Cal. Day) bbl/d ;Completion PN3-11X Oil Rate (Cal. Day) bbl/d ;Completion PN3-12 Oil Rate (Cal. Day) bbl/d ;Completion PN3-15 Oil Rate (Cal. Day) bbl/d ;Completion PN3-18 Oil Rate (Cal. Day) bbl/d ;Completion PN3-19 Oil Rate (Cal. Day) bbl/d ;Completion PN3-20DST Oil Rate (Cal. Day) bbl/d ;Completion PN3-21 Oil Rate (Cal. Day) bbl/d ;Completion PN3-22 Oil Rate (Cal. Day) bbl/d ;Completion PN3-23 Oil Rate (Cal. Day) bbl/d ;Completion PN3-24 Oil Rate (Cal. Day) bbl/d ;Completion PN3-25D Oil Rate (Cal. Day) bbl/d ;Completion PN3-26DBP Oil Rate (Cal. Day) bbl/d ;Completion PN3-3 Oil Rate (Cal. Day) bbl/d ;Completion PN8-15A Oil Rate (Cal. Day) bbl/d ;Completion PN8-16 Oil Rate (Cal. Day) bbl/d ;Completion PN8-17X Oil Rate (Cal. Day) bbl/d ;Completion PN8-18 Oil Rate (Cal. Day) bbl/d ;Completion PN8-19 Oil Rate (Cal. Day) bbl/d ;Completion PN8-20 Oil Rate (Cal. Day) bbl/d ;Completion PN8-22 Oil Rate (Cal. Day) bbl/d ;Completion PN8-23ST Oil Rate (Cal. Day) bbl/d ;Completion PN8-24 Oil Rate (Cal. Day) bbl/d ;Completion PN8-25 Oil Rate (Cal. Day) bbl/d ;Completion PN8-3 Oil Rate (Cal. Day) bbl/d ;Completion PN8-3A Oil Rate (Cal. Day) bbl/d ;Completion PN8-4 Oil Rate (Cal. Day) bbl/d ;Completion PN8-4A Oil Rate (Cal. Day) bbl/d ;Completion PN8-6 Oil Rate (Cal. Day) bbl/d ;Completion PN8-7 Oil Rate (Cal. Day) bbl/d ;Completion PN8-7A Oil Rate (Cal. Day) bbl/d ;Completion PN8-8 Oil Rate (Cal. Day) bbl/d 
1/08/1976;;;725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/09/1976;;;504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/1976;;;385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/1976;;;520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/1976;;;408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/1977;1105;;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/02/1977;643;;745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/03/1977;549;;504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/04/1977;565;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/05/1977;477;108;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/06/1977;432;114;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/07/1977;386;52;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/08/1977;228;205;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/09/1977;351;;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/1977;361;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/1977;306;142;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/1977;334;61;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/1978;343;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/02/1978;296;;104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/03/1978;304;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/04/1978;331;48;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/05/1978;306;127;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/06/1978;328;29;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/07/1978;300;22;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/08/1978;295;34;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/09/1978;286;30;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/1978;295;31;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/1978;267;28;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/1978;304;35;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/1979;289;23;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/02/1979;289;25;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/03/1979;267;12;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/04/1979;246;77;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/05/1979;227;77;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/06/1979;228;74;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/07/1979;233;72;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/08/1979;262;26;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/09/1979;280;21;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/1979;216;20;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/1979;262;10;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/1979;229;8;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/1980;209;22;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/02/1980;213;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/03/1980;197;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/04/1980;202;;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/05/1980;169;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/06/1980;194;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/07/1980;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/08/1980;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/09/1980;96;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/1980;152;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/1980;144;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/1980;38;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/1981;113;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/02/1981;17;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/03/1981;84;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/04/1981;58;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/05/1981;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/06/1981;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/07/1981;42;52;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/08/1981;47;60;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/09/1981;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/1981;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/1981;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/1981;146;46;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/1982;188;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/02/1982;175;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/03/1982;122;57;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/04/1982;42;17;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/05/1982;54;50;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/06/1982;61;43;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/07/1982;113;43;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/08/1982;130;43;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/09/1982;130;43;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/1982;111;23;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/1982;79;40;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/1982;122;43;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/01/1983;86;40;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/02/1983;92;43;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/03/1983;84;40;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/04/1983;48;41;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/05/1983;13;59;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/06/1983;;53;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/07/1983;;30;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/08/1983;;32;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/09/1983;;9;41;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
